City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
noumea,nc,-22.28,166.46,80.6,74,75,8.05
gigmoto,ph,13.78,124.39,74.92,100,48,12.24
isangel,vu,-19.55,169.27,81.27,100,36,11.56
nizhniy odes,ru,63.64,54.86,16.87,78,88,9.22
katsuura,jp,33.93,134.5,41,75,75,8.05
rikitea,pf,-23.12,-134.97,78.88,100,24,6.64
fortuna,us,38.18,-1.13,53.6,76,0,2.51
mount gambier,au,-37.83,140.78,51.8,87,40,6.93
gazanjyk,tm,39.24,55.52,28.12,84,0,2.51
guerrero negro,mx,27.97,-114.04,57.15,92,76,15.7
carutapera,br,-1.2,-46.02,81.72,87,92,9.1
mataura,pf,-46.19,168.86,51.75,90,8,17.05
lewisporte,ca,49.25,-55.06,14,43,20,12.75
vaini,to,15.34,74.49,70.06,69,0,2.73
esperance,au,10.24,-61.45,86,51,40,18.34
biak,id,-0.91,122.88,76.27,100,12,1.39
opuwo,na,-18.06,13.84,85.95,13,0,8.43
new norfolk,au,-42.78,147.06,55.4,66,75,9.17
longyearbyen,sj,78.22,15.63,30.2,86,90,36.91
provideniya,ru,64.42,-173.23,25.87,94,88,6.76
sungaipenuh,id,-2.08,101.38,67.32,94,24,0.16
norman wells,ca,65.28,-126.83,-5.81,83,75,2.24
tambovka,ru,46.93,35.45,34.24,65,64,12.46
aksay,kz,47.27,39.86,33.8,80,40,8.95
mahebourg,mu,-20.41,57.7,78.8,88,20,2.24
hobart,au,-42.88,147.33,55.4,66,75,9.17
avarua,ck,-21.21,-159.78,80.6,69,92,6.93
arraial do cabo,br,-22.97,-42.02,81.25,69,75,2.24
bredasdorp,za,-34.53,20.04,71.6,73,48,13.87
kavaratti,in,10.57,72.64,83.56,99,0,10.78
nantucket,us,41.28,-70.1,44.13,70,1,18.34
manyana,bw,-35.26,150.51,62.6,82,90,11.41
hithadhoo,mv,-0.6,73.08,76.77,100,92,3.62
pouebo,nc,-20.4,164.57,76.32,96,92,14.47
yellowknife,ca,62.45,-114.38,-0.41,84,90,3.36
great yarmouth,gb,52.61,1.73,50,87,0,4.7
busselton,au,-33.64,115.35,61.87,100,12,4.85
turgenevo,ru,54.84,46.32,31.63,96,92,8.77
